kind,N,threshold,trial,ms
random,500,5,1,0
random,500,5,2,0
random,500,5,3,0
random,500,5,4,0
random,500,5,5,0
random,500,5,6,0
random,500,5,7,0
random,500,10,1,0
random,500,10,2,0
random,500,10,3,0
random,500,10,4,0
random,500,10,5,0
random,500,10,6,0
random,500,10,7,0
random,500,20,1,0
random,500,20,2,0
random,500,20,3,0
random,500,20,4,0
random,500,20,5,0
random,500,20,6,0
random,500,20,7,0
random,500,30,1,0
random,500,30,2,0
random,500,30,3,0
random,500,30,4,0
random,500,30,5,0
random,500,30,6,0
random,500,30,7,0
random,500,50,1,0
random,500,50,2,0
random,500,50,3,0
random,500,50,4,0
random,500,50,5,0
random,500,50,6,0
random,500,50,7,0
random,600,5,1,0
random,600,5,2,0
random,600,5,3,0
random,600,5,4,0
random,600,5,5,0
random,600,5,6,0
random,600,5,7,0
random,600,10,1,0
random,600,10,2,0
random,600,10,3,0
random,600,10,4,0
random,600,10,5,0
random,600,10,6,0
random,600,10,7,0
random,600,20,1,0
random,600,20,2,0
random,600,20,3,0
random,600,20,4,0
random,600,20,5,0
random,600,20,6,0
random,600,20,7,0
random,600,30,1,0
random,600,30,2,0
random,600,30,3,0
random,600,30,4,0
random,600,30,5,0
random,600,30,6,0
random,600,30,7,0
random,600,50,1,0
random,600,50,2,0
random,600,50,3,0
random,600,50,4,0
random,600,50,5,0
random,600,50,6,0
random,600,50,7,0
random,700,5,1,0
random,700,5,2,0
random,700,5,3,0
random,700,5,4,0
random,700,5,5,0
random,700,5,6,0
random,700,5,7,0
random,700,10,1,0
random,700,10,2,0
random,700,10,3,0
random,700,10,4,0
random,700,10,5,0
random,700,10,6,0
random,700,10,7,0
random,700,20,1,0
random,700,20,2,0
random,700,20,3,0
random,700,20,4,0
random,700,20,5,0
random,700,20,6,0
random,700,20,7,0
random,700,30,1,0
random,700,30,2,0
random,700,30,3,0
random,700,30,4,0
random,700,30,5,0
random,700,30,6,0
random,700,30,7,0
random,700,50,1,0
