N,median,p05,p95,count
500,0.0,0.0,0.0,7
600,0.0,0.0,0.0,7
700,0.0,0.0,0.0,7
800,0.0,0.0,0.0,7
900,0.0,0.0,0.0,7
1000,0.0,0.0,0.0,7
1100,0.0,0.0,0.0,7
1200,0.0,0.0,0.0,7
1300,0.0,0.0,0.0,7
1400,0.0,0.0,0.0,7
1500,0.0,0.0,0.0,7
1600,0.0,0.0,0.0,7
1700,0.0,0.0,0.0,7
1800,0.0,0.0,0.0,7
1900,0.0,0.0,0.0,7
2000,0.0,0.0,0.0,7
2100,0.0,0.0,0.0,7
2200,0.0,0.0,0.0,7
2300,0.0,0.0,0.0,7
2400,0.0,0.0,0.0,7
2500,0.0,0.0,0.0,7
2600,0.0,0.0,0.0,7
2700,0.0,0.0,0.0,7
2800,0.0,0.0,0.0,7
2900,0.0,0.0,0.0,7
3000,0.0,0.0,0.0,7
3100,0.0,0.0,0.0,7
3200,0.0,0.0,0.0,7
3300,0.0,0.0,0.0,7
3400,0.0,0.0,0.0,7
3500,0.0,0.0,0.0,7
3600,0.0,0.0,0.0,7
3700,0.0,0.0,0.0,7
3800,0.0,0.0,0.0,7
3900,0.0,0.0,0.0,7
4000,0.0,0.0,0.0,7
4100,0.0,0.0,0.0,7
4200,0.0,0.0,0.0,7
4300,0.0,0.0,0.0,7
4400,0.0,0.0,0.0,7
4500,0.0,0.0,0.0,7
4600,0.0,0.0,0.0,7
4700,0.0,0.0,0.0,7
4800,0.0,0.0,0.0,7
4900,0.0,0.0,0.0,7
5000,0.0,0.0,0.0,7
5100,0.0,0.0,0.0,7
5200,0.0,0.0,0.0,7
5300,0.0,0.0,0.0,7
5400,0.0,0.0,0.0,7
5500,0.0,0.0,0.0,7
5600,0.0,0.0,0.0,7
5700,0.0,0.0,0.0,7
5800,0.0,0.0,0.0,7
5900,0.0,0.0,0.0,7
6000,0.0,0.0,0.0,7
6100,0.0,0.0,0.0,7
6200,0.0,0.0,0.0,7
6300,0.0,0.0,0.0,7
6400,0.0,0.0,0.0,7
6500,0.0,0.0,0.0,7
6600,0.0,0.0,0.0,7
6700,0.0,0.0,0.0,7
6800,0.0,0.0,0.0,7
6900,0.0,0.0,0.0,7
7000,0.0,0.0,0.0,7
7100,0.0,0.0,0.0,7
7200,0.0,0.0,0.0,7
7300,0.0,0.0,0.0,7
7400,0.0,0.0,0.0,7
7500,0.0,0.0,0.0,7
7600,0.0,0.0,0.0,7
7700,0.0,0.0,0.0,7
7800,0.0,0.0,0.0,7
7900,0.0,0.0,0.0,7
8000,0.0,0.0,0.0,7
8100,0.0,0.0,0.0,7
8200,0.0,0.0,0.0,7
8300,0.0,0.0,0.0,7
8400,0.0,0.0,0.0,7
8500,0.0,0.0,0.0,7
8600,0.0,0.0,0.0,7
8700,0.0,0.0,0.0,7
8800,0.0,0.0,0.0,7
8900,0.0,0.0,0.0,7
9000,0.0,0.0,0.0,7
9100,0.0,0.0,0.0,7
9200,0.0,0.0,0.0,7
9300,0.0,0.0,0.0,7
9400,0.0,0.0,0.0,7
9500,0.0,0.0,0.0,7
9600,0.0,0.0,0.0,7
9700,0.0,0.0,0.0,7
9800,0.0,0.0,0.0,7
9900,0.0,0.0,0.0,7
10000,0.0,0.0,0.0,7
10100,0.0,0.0,0.0,7
10200,0.0,0.0,0.0,7
10300,0.0,0.0,0.0,7
10400,0.0,0.0,0.0,7
10500,0.0,0.0,0.0,7
10600,0.0,0.0,0.0,7
10700,0.0,0.0,0.0,7
10800,0.0,0.0,0.0,7
10900,0.0,0.0,0.0,7
11000,0.0,0.0,0.0,7
11100,0.0,0.0,0.0,7
11200,0.0,0.0,0.0,7
11300,0.0,0.0,0.0,7
11400,0.0,0.0,0.0,7
11500,0.0,0.0,0.0,7
11600,0.0,0.0,0.0,7
11700,0.0,0.0,0.0,7
11800,0.0,0.0,0.0,7
11900,0.0,0.0,0.0,7
12000,0.0,0.0,0.0,7
12100,0.0,0.0,0.0,7
12200,0.0,0.0,0.0,7
12300,0.0,0.0,0.0,7
12400,0.0,0.0,0.0,7
12500,0.0,0.0,0.0,7
12600,0.0,0.0,0.0,7
12700,0.0,0.0,0.0,7
12800,0.0,0.0,0.0,7
12900,0.0,0.0,0.0,7
13000,0.0,0.0,0.0,7
13100,0.0,0.0,0.0,7
13200,0.0,0.0,0.0,7
13300,0.0,0.0,0.0,7
13400,0.0,0.0,0.0,7
13500,0.0,0.0,0.0,7
13600,0.0,0.0,0.0,7
13700,0.0,0.0,0.0,7
13800,0.0,0.0,0.0,7
13900,0.0,0.0,0.0,7
14000,0.0,0.0,0.0,7
14100,0.0,0.0,0.0,7
14200,0.0,0.0,0.0,7
14300,0.0,0.0,0.0,7
14400,0.0,0.0,0.0,7
14500,0.0,0.0,0.0,7
14600,0.0,0.0,0.0,7
14700,0.0,0.0,0.0,7
14800,0.0,0.0,0.0,7
14900,0.0,0.0,0.0,7
15000,0.0,0.0,0.0,7
15100,0.0,0.0,1.0,7
15200,0.0,0.0,0.0,7
15300,0.0,0.0,0.0,7
15400,0.0,0.0,0.0,7
15500,0.0,0.0,0.6999999999999993,7
15600,0.0,0.0,0.0,7
15700,0.0,0.0,0.0,7
15800,0.0,0.0,0.0,7
15900,0.0,0.0,0.0,7
16000,0.0,0.0,0.0,7
16100,0.0,0.0,0.0,7
16200,0.0,0.0,0.0,7
16300,0.0,0.0,0.0,7
16400,0.0,0.0,0.0,7
16500,0.0,0.0,0.0,7
16600,0.0,0.0,0.0,7
16700,0.0,0.0,0.0,7
16800,0.0,0.0,0.0,7
16900,0.0,0.0,1.0,7
17000,0.0,0.0,0.0,7
17100,0.0,0.0,0.0,7
17200,0.0,0.0,0.0,7
17300,0.0,0.0,0.6999999999999993,7
17400,0.0,0.0,0.6999999999999993,7
17500,0.0,0.0,0.0,7
17600,0.0,0.0,1.0,7
17700,1.0,0.0,1.0,7
17800,0.0,0.0,0.0,7
17900,1.0,0.0,1.0,7
18000,1.0,0.0,1.0,7
18100,1.0,0.0,1.0,7
18200,1.0,0.30000000000000004,1.0,7
18300,1.0,1.0,1.0,7
18400,1.0,1.0,1.0,7
18500,1.0,1.0,1.0,7
18600,1.0,1.0,1.0,7
18700,1.0,1.0,1.0,7
18800,1.0,1.0,1.0,7
18900,1.0,1.0,1.0,7
19000,1.0,1.0,1.0,7
19100,1.0,1.0,1.0,7
19200,1.0,1.0,1.0,7
19300,1.0,1.0,1.0,7
19400,1.0,1.0,1.0,7
19500,1.0,1.0,1.0,7
19600,1.0,1.0,1.0,7
19700,1.0,1.0,1.0,7
19800,1.0,1.0,1.0,7
19900,1.0,1.0,1.0,7
20000,1.0,1.0,1.0,7
20100,1.0,1.0,1.0,7
20200,1.0,1.0,1.0,7
20300,1.0,1.0,1.0,7
20400,1.0,1.0,1.0,7
20500,1.0,1.0,1.0,7
20600,1.0,1.0,1.0,7
20700,1.0,1.0,1.0,7
20800,1.0,1.0,1.0,7
20900,1.0,1.0,1.0,7
21000,1.0,1.0,1.0,7
21100,1.0,1.0,1.0,7
21200,1.0,1.0,1.0,7
21300,1.0,1.0,1.0,7
21400,1.0,1.0,1.0,7
21500,1.0,1.0,1.0,7
21600,1.0,1.0,1.0,7
21700,1.0,1.0,1.0,7
21800,1.0,1.0,1.0,7
21900,1.0,1.0,1.0,7
22000,1.0,1.0,1.0,7
22100,1.0,1.0,1.0,7
22200,1.0,1.0,1.0,7
22300,1.0,1.0,1.0,7
22400,1.0,1.0,1.0,7
22500,1.0,1.0,1.0,7
22600,1.0,1.0,1.0,7
22700,1.0,1.0,1.0,7
22800,1.0,1.0,1.0,7
22900,1.0,1.0,1.0,7
23000,1.0,1.0,1.0,7
23100,1.0,1.0,1.0,7
23200,1.0,1.0,1.0,7
23300,1.0,1.0,1.0,7
23400,1.0,1.0,1.0,7
23500,1.0,1.0,1.0,7
23600,1.0,1.0,1.0,7
23700,1.0,1.0,1.0,7
23800,1.0,1.0,1.0,7
23900,1.0,1.0,1.0,7
