kind,N,trial,ms
random,500,1,0
random,500,2,0
random,500,3,0
random,500,4,0
random,500,5,0
random,500,6,0
random,500,7,0
random,600,1,0
random,600,2,0
random,600,3,0
random,600,4,0
random,600,5,0
random,600,6,0
random,600,7,0
random,700,1,0
random,700,2,0
random,700,3,0
random,700,4,0
random,700,5,0
random,700,6,0
random,700,7,0
random,800,1,0
random,800,2,0
random,800,3,0
random,800,4,0
random,800,5,0
random,800,6,0
random,800,7,0
random,900,1,0
random,900,2,0
random,900,3,0
random,900,4,0
random,900,5,0
random,900,6,0
random,900,7,0
random,1000,1,0
random,1000,2,0
random,1000,3,0
random,1000,4,0
random,1000,5,0
random,1000,6,0
random,1000,7,0
random,1100,1,0
random,1100,2,0
random,1100,3,0
random,1100,4,0
random,1100,5,0
random,1100,6,0
random,1100,7,0
random,1200,1,0
random,1200,2,0
random,1200,3,0
random,1200,4,0
random,1200,5,0
random,1200,6,0
random,1200,7,0
random,1300,1,0
random,1300,2,0
random,1300,3,0
random,1300,4,0
random,1300,5,0
random,1300,6,0
random,1300,7,0
random,1400,1,0
random,1400,2,0
random,1400,3,0
random,1400,4,0
random,1400,5,0
random,1400,6,0
random,1400,7,0
random,1500,1,0
random,1500,2,0
random,1500,3,0
random,1500,4,0
random,1500,5,0
random,1500,6,0
random,1500,7,0
random,1600,1,0
random,1600,2,0
random,1600,3,0
random,1600,4,0
random,1600,5,0
random,1600,6,0
random,1600,7,0
random,1700,1,0
random,1700,2,0
random,1700,3,0
random,1700,4,0
random,1700,5,0
random,1700,6,0
random,1700,7,0
random,1800,1,0
random,1800,2,0
random,1800,3,0
random,1800,4,0
random,1800,5,0
random,1800,6,0
random,1800,7,0
random,1900,1,0
random,1900,2,0
random,1900,3,0
random,1900,4,0
random,1900,5,0
random,1900,6,0
random,1900,7,0
random,2000,1,0
random,2000,2,0
random,2000,3,0
random,2000,4,0
random,2000,5,0
random,2000,6,0
random,2000,7,0
random,2100,1,0
random,2100,2,0
random,2100,3,0
random,2100,4,0
random,2100,5,0
random,2100,6,0
random,2100,7,0
random,2200,1,0
random,2200,2,0
random,2200,3,0
random,2200,4,0
random,2200,5,0
random,2200,6,0
random,2200,7,0
random,2300,1,0
random,2300,2,0
random,2300,3,0
random,2300,4,0
random,2300,5,0
random,2300,6,0
random,2300,7,0
random,2400,1,0
random,2400,2,0
random,2400,3,0
random,2400,4,0
random,2400,5,0
random,2400,6,0
random,2400,7,0
random,2500,1,0
random,2500,2,0
random,2500,3,0
random,2500,4,0
random,2500,5,0
random,2500,6,0
random,2500,7,0
random,2600,1,0
random,2600,2,0
random,2600,3,0
random,2600,4,0
random,2600,5,0
random,2600,6,0
random,2600,7,0
random,2700,1,0
random,2700,2,0
random,2700,3,0
random,2700,4,0
random,2700,5,0
random,2700,6,0
random,2700,7,0
random,2800,1,0
random,2800,2,0
random,2800,3,0
random,2800,4,0
random,2800,5,0
random,2800,6,0
random,2800,7,0
random,2900,1,0
random,2900,2,0
random,2900,3,0
random,2900,4,0
random,2900,5,0
random,2900,6,0
random,2900,7,0
random,3000,1,0
random,3000,2,0
random,3000,3,0
random,3000,4,0
random,3000,5,0
random,3000,6,0
random,3000,7,0
random,3100,1,0
random,3100,2,0
random,3100,3,0
random,3100,4,0
random,3100,5,0
random,3100,6,0
random,3100,7,0
random,3200,1,0
random,3200,2,0
random,3200,3,0
random,3200,4,0
random,3200,5,0
random,3200,6,0
random,3200,7,0
random,3300,1,0
random,3300,2,0
random,3300,3,0
random,3300,4,0
random,3300,5,0
random,3300,6,0
random,3300,7,0
random,3400,1,0
random,3400,2,0
random,3400,3,0
random,3400,4,0
random,3400,5,0
random,3400,6,0
random,3400,7,0
random,3500,1,0
random,3500,2,0
random,3500,3,0
random,3500,4,0
random,3500,5,0
random,3500,6,0
random,3500,7,0
random,3600,1,0
random,3600,2,0
random,3600,3,0
random,3600,4,0
random,3600,5,0
random,3600,6,0
random,3600,7,0
random,3700,1,0
random,3700,2,0
random,3700,3,0
random,3700,4,0
random,3700,5,0
random,3700,6,0
random,3700,7,0
random,3800,1,0
random,3800,2,0
random,3800,3,0
random,3800,4,0
random,3800,5,0
random,3800,6,0
random,3800,7,0
random,3900,1,0
random,3900,2,0
random,3900,3,0
random,3900,4,0
random,3900,5,0
random,3900,6,0
random,3900,7,0
random,4000,1,0
random,4000,2,0
random,4000,3,0
random,4000,4,0
random,4000,5,0
random,4000,6,0
random,4000,7,0
random,4100,1,0
random,4100,2,0
random,4100,3,0
random,4100,4,0
random,4100,5,0
random,4100,6,0
random,4100,7,0
random,4200,1,0
random,4200,2,0
random,4200,3,0
random,4200,4,0
random,4200,5,0
random,4200,6,0
random,4200,7,0
random,4300,1,0
random,4300,2,0
random,4300,3,0
random,4300,4,0
random,4300,5,0
random,4300,6,0
random,4300,7,0
random,4400,1,0
random,4400,2,0
random,4400,3,0
random,4400,4,0
random,4400,5,0
random,4400,6,0
random,4400,7,0
random,4500,1,0
random,4500,2,0
random,4500,3,0
random,4500,4,0
random,4500,5,0
random,4500,6,0
random,4500,7,0
random,4600,1,0
random,4600,2,0
random,4600,3,0
random,4600,4,0
